epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.32055,0.76806,5.30148,2.64208,1.27821,0.00333,1,0.0537,0.02756,0.0009,0.26984,0.00135,0.00024,0.43141,6.08578,2.91807,0.955,0,0,0
2,10.9466,0.79665,4.90118,2.65069,1.33419,0.00333,1,0.05118,0.02648,0.00069,0.20635,0.00101,0.00021,0.43086,6.07694,2.92,0.95817,1.99802e-05,1.99802e-05,1.99802e-05
3,15.0595,0.85219,5.15653,2.68151,1.39522,0.00333,1,0.04893,0.02509,0.00095,0.28571,0.0014,0.00027,0.43145,6.07035,2.92241,0.96074,3.99208e-05,3.99208e-05,3.99208e-05
4,19.349,0.74683,5.19443,2.6321,1.29783,0.00333,1,0.05948,0.02899,0.0009,0.26984,0.00153,0.00029,0.43429,6.07143,2.9223,0.96604,5.98218e-05,5.98218e-05,5.98218e-05
5,23.622,0.82247,5.43206,2.73748,1.35771,0.00333,1,0.0541,0.02624,0.00079,0.2381,0.00133,0.00028,0.43556,6.03429,2.92103,0.96904,7.96832e-05,7.96832e-05,7.96832e-05
6,27.9003,0.88529,5.89864,2.68314,1.38683,0.00333,1,0.05417,0.02562,0.00074,0.22222,0.0011,0.00021,0.43666,6.01949,2.92239,0.97405,9.9505e-05,9.9505e-05,9.9505e-05
7,32.0716,0.75959,5.96364,2.65018,1.32492,0.00333,1,0.05692,0.02665,0.00101,0.30159,0.00146,0.00026,0.43651,5.98659,2.92251,0.97698,0.000119287,0.000119287,0.000119287
8,35.7959,0.82303,5.64821,2.72728,1.35161,0.00333,1,0.05541,0.02606,0.00101,0.30159,0.00139,0.00025,0.43829,5.98116,2.92277,0.98288,0.00013903,0.00013903,0.00013903
9,39.8899,0.8448,5.53028,2.70416,1.34307,0.00333,1,0.05169,0.02549,0.0009,0.26984,0.00128,0.00022,0.43868,5.95184,2.92488,0.98515,0.000158733,0.000158733,0.000158733
10,44.1627,0.84732,5.66865,2.7224,1.38779,0.00333,1,0.05102,0.02542,0.00111,0.33333,0.00163,0.00028,0.44167,5.92959,2.92545,0.98829,0.000178396,0.000178396,0.000178396
11,48.315,0.79469,5.61417,2.71837,1.32575,0.00333,1,0.04954,0.02443,0.00101,0.30159,0.00155,0.00031,0.44281,5.90484,2.92599,0.99193,0.00019802,0.00019802,0.00019802
12,52.3138,0.76512,5.50137,2.68994,1.28277,0.00333,1,0.86334,0.53322,0.00333,1,0.51816,0.2464,0.31543,1.4432,2.87347,0.80379,0.000217604,0.000217604,0.000217604
13,56.3411,0.58848,2.2709,2.37256,1.16516,0.00333,1,0.93447,0.77525,0.00333,1,0.93447,0.72383,0.27085,0.891,2.84125,0.72647,0.000237149,0.000237149,0.000237149
14,60.3029,0.4694,1.70629,1.95091,1.04642,0.00333,1,0.99359,0.75403,0.00333,1,0.99359,0.7573,0.32041,0.7181,2.80819,0.77871,0.000256654,0.000256654,0.000256654
